title;lien;company;categorie;Reference;Publie le;Type de poste;Lieu de travail;Experience;Etude;Remuneration proposee;Disponibilite;Langues;Mobilite
Chargé(e) Qualité et Formation;https://www.keejob.com/offres-emploi/152736/chargée-qualité-et-formation/;ACTIVE CONTACT;comptabilité / gestion / audit;152476;26-mars-22;CDI-CDD-SIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Français Anglais;Locale
Gestionnaire de paie et comptables;https://www.keejob.com/offres-emploi/152476/gestionnaire-de-paie-et-comptables/;STANDFOR'S;call center / télévente;153409;26-mars-22;CDISIVP;Centre villeTunisTunisie;Entre 2 et 5 ans;Formations professionnelles;UNKNOWN;Plein temps;Français;UNKNOWN
MANAGER D’EQUIPE - EXPERIENCE EN ASSURANCES;https://www.keejob.com/offres-emploi/153409/manager-dequipe-experience-en-assurances/;ECG ASSURANCES;call center / télévente;152845;26-mars-22;UNKNOWNSIVP;TunisTunisie;Moins d'un an;Bac + 5;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Développeur Fullstack Symfony 4 / REACT;https://www.keejob.com/offres-emploi/152845/développeur-fullstack-symfony-4-react/;METOS;informatique / télécoms;152765;26-mars-22;UNKNOWNSIVP;Cite El KhadraTunisTunisie;Moins d'un an;Bac + 3;1000 - 1500 DT / Mois;Plein temps;Anglais Allemand;UNKNOWN
German Speaker /Back Office Agent;https://www.keejob.com/offres-emploi/152765/german-speaker-back-office-agent/;CED;call center / télévente;152879;26-mars-22;CDI-SIVP-SIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 2;UNKNOWN;Plein temps;Français;UNKNOWN
Téléconseillers en Mutuelle Santé;https://www.keejob.com/offres-emploi/152879/téléconseillers-en-mutuelle-santé/;CALLMAX;commerce / vente / distribution;152820;26-mars-22;CDI-CDD-SIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Superviseur des ventes;https://www.keejob.com/offres-emploi/152820/superviseur-des-ventes/;ARGANIA DISTRIBUTION;recrutement / ressources humaines;152665;26-mars-22;UNKNOWNSIVP;ArianaTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Ingénieur Qualité Méthode;https://www.keejob.com/offres-emploi/152665/ingénieur-qualité-méthode/;PARTNER RECRUITMENT;call center / télévente;153410;26-mars-22;CDISIVP;Centre villeTunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Coordinatrice/teur sous-traitants offshore;https://www.keejob.com/offres-emploi/153410/coordinatriceteur-sous-traitants-offshore/;ECG ASSURANCES;commerce / vente / distribution;152151;26-mars-22;CDD-SIVP-SIVP;Kalaa El KebiraSousseTunisie;Entre 1 et 2 ans;Bac + 3;800 - 950 DT / Mois;Plein temps;Arabe Français Anglais;Locale
Assistant store manager;https://www.keejob.com/offres-emploi/152151/assistant-store-manager/;STRASS;call center / télévente;153121;26-mars-22;CDISIVP;Bab BharTunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Responsable production activité télévente;https://www.keejob.com/offres-emploi/153121/business-manager-hf/;ACTIVE CONTACT;informatique / télécoms;152604;26-mars-22;CDISIVP;ArianaTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
